,Unnamed: 0,PSU,contraceptive_No,contraceptive_Yes,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,dt_Jointly,dt_rest,edu_noedu,edu_primary,edu_secondary,edu_higher,rel_Hindu,rel_nonHindu,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,caste_OBC,caste_SC,caste_ST,caste_Others,residence_rural,residence_urban,counselling_no,counselling_yes,parity_0,parity_1_2,parity_3,sum(mediaFP),outlier
0,1,330003,11,5,0,5,4,2,2,2,1,5,11,8,2,6,0,16,0,1,1,7,5,2,14,2,0,0,16,0,11,5,2,8,6,0,No
1,2,330005,12,5,1,3,4,4,3,0,2,9,8,5,3,5,4,16,1,3,3,2,5,4,8,2,0,7,17,0,14,3,3,6,8,1,No
2,3,330008,10,9,0,3,2,4,3,4,3,8,11,6,5,5,3,19,0,0,0,4,4,11,16,2,0,1,0,19,19,0,3,9,7,0,No
3,4,330010,15,9,0,7,5,3,1,3,5,12,12,11,5,7,1,24,0,2,5,5,7,5,14,3,0,7,24,0,6,18,2,7,15,0,No
4,5,330011,13,3,1,4,4,4,2,0,1,4,12,7,1,4,4,16,0,3,3,5,2,3,6,3,0,7,16,0,9,7,5,3,8,5,No
5,6,330012,19,1,0,8,2,5,3,1,1,1,19,15,2,3,0,12,8,9,10,0,0,1,5,2,7,6,20,0,16,4,5,7,8,3,No
6,7,330014,15,3,1,4,2,3,2,6,0,3,15,11,2,5,0,8,10,4,4,6,1,3,6,7,0,5,0,18,16,2,5,2,11,0,No
7,8,330017,13,10,1,6,2,4,6,3,1,17,6,9,2,6,6,23,0,5,2,7,3,6,14,4,0,5,23,0,15,8,2,7,14,0,No
8,9,330018,18,3,2,5,4,2,3,2,3,5,16,11,3,6,1,21,0,9,10,2,0,0,13,8,0,0,21,0,10,11,3,8,10,5,No
9,10,330020,11,5,1,0,5,2,2,3,3,4,12,8,4,4,0,13,3,1,8,4,2,1,7,3,2,4,16,0,11,5,2,6,8,2,No
10,11,330021,6,6,1,1,3,2,4,1,0,4,8,3,1,5,3,12,0,0,6,2,3,1,12,0,0,0,12,0,10,2,2,3,7,1,No
11,12,330024,1,6,0,0,1,3,2,1,0,7,0,0,0,1,6,7,0,0,0,0,0,7,4,0,0,3,0,7,7,0,0,7,0,1,No
12,13,330028,9,7,0,2,1,5,4,2,2,6,10,13,1,2,0,16,0,9,6,0,1,0,1,15,0,0,16,0,15,1,0,1,15,0,No
13,14,330030,18,3,1,4,4,6,2,1,3,7,14,9,3,6,3,20,1,1,7,4,5,4,13,2,0,6,21,0,10,11,4,7,10,0,No
14,15,330032,16,5,0,5,5,3,3,4,1,7,14,10,8,3,0,0,21,0,0,5,12,4,12,0,0,9,0,21,10,11,3,6,12,0,No
15,16,330033,7,11,0,1,5,8,2,1,1,14,4,1,3,9,5,18,0,0,0,0,0,18,3,5,0,10,0,18,18,0,1,14,3,0,No
16,17,330034,9,8,0,3,5,2,4,3,0,8,9,13,3,1,0,4,13,1,4,6,5,1,11,4,0,2,17,0,13,4,1,5,11,0,No
17,18,330035,13,3,3,2,6,1,1,1,2,7,9,6,5,5,0,7,9,5,5,4,2,0,12,0,0,4,16,0,7,9,3,6,7,0,No
18,19,330037,17,3,0,4,4,5,3,2,2,3,17,15,4,1,0,0,20,1,1,10,4,4,18,0,2,0,0,20,15,5,1,6,13,0,No
19,20,330038,13,1,0,3,1,0,4,4,2,5,9,11,2,1,0,0,14,2,2,5,4,1,4,0,1,9,14,0,12,2,1,3,10,0,No
20,21,330040,11,8,1,1,1,6,4,3,3,11,8,7,6,6,0,19,0,1,2,1,6,9,5,14,0,0,0,19,18,1,1,5,13,1,No
21,22,330041,12,5,1,2,4,1,2,2,5,8,9,7,4,4,2,13,4,1,2,5,9,0,5,7,0,5,17,0,14,3,4,5,8,2,No
22,23,330042,17,2,1,3,4,6,3,2,0,1,18,16,2,1,0,17,2,11,6,1,1,0,5,6,6,2,19,0,18,1,1,7,11,0,No
23,24,330044,13,7,1,2,1,8,5,3,0,12,8,11,2,5,2,20,0,9,5,2,4,0,9,10,0,1,20,0,14,6,1,5,14,0,No
24,25,330045,6,6,0,1,3,6,1,0,1,5,7,5,3,4,0,12,0,5,3,0,3,1,8,2,0,2,12,0,3,9,1,1,10,3,No
25,26,330046,12,1,0,0,2,3,4,3,1,2,11,10,3,0,0,0,13,5,5,2,1,0,13,0,0,0,13,0,12,1,1,2,10,0,No
26,27,330047,7,11,2,3,3,4,5,0,1,13,5,4,3,11,0,17,1,0,0,5,3,10,7,7,0,4,0,18,3,15,3,7,8,0,No
27,28,330048,8,6,0,1,3,2,3,3,2,10,4,7,4,3,0,14,0,0,0,0,6,8,0,14,0,0,0,14,14,0,1,4,9,1,No
28,29,330050,13,7,0,0,3,6,4,4,3,10,10,12,1,5,2,20,0,8,5,3,1,3,8,9,0,3,20,0,14,6,1,7,12,2,No
29,30,330051,7,9,0,2,1,5,3,2,3,4,12,11,0,4,1,10,6,4,2,1,9,0,15,0,0,1,16,0,15,1,1,4,11,1,No
30,31,330053,10,6,1,0,4,2,3,4,2,8,8,7,2,7,0,1,15,0,0,1,2,13,11,0,0,5,0,16,12,4,1,6,9,5,No
31,32,330054,25,4,2,7,5,7,2,3,3,14,15,11,5,10,3,29,0,0,4,4,11,10,8,16,0,5,29,0,25,4,2,14,13,2,No
32,33,330055,12,4,0,0,4,3,2,3,4,4,12,5,1,5,5,14,2,1,0,0,5,10,2,4,0,10,0,16,16,0,2,8,6,1,No
33,34,330060,14,3,0,3,4,2,3,2,3,1,16,12,2,3,0,12,5,7,4,4,2,0,7,2,1,7,17,0,14,3,2,4,11,1,No
34,35,330061,6,2,0,1,2,1,1,1,2,2,6,0,0,5,3,5,3,0,0,1,0,7,5,0,0,3,0,8,8,0,1,4,3,0,No
35,36,330063,14,1,0,3,3,3,4,0,2,1,14,7,4,2,2,0,15,0,1,1,13,0,15,0,0,0,0,15,14,1,2,6,7,0,No
